"Financial year","Domestic consumption ($b)","International consumption ($b)"
"2016-17","97.892","32.924"
"2017-18","106.305","35.445"
"2018-19","120.643","37.691"
"2019-20","100.222","28.495"
"2020-21","88.312","0.999"
"2021-22","99.64","5.831"
"2022-23","157.461","25.955"
"2023-24","160.154","38.329"
