"Category of travel","Jul 2019 (no.)","Jul 2023 (no.)","Jul 2024 (no.)","Jul 2025 (no.)","Jul 2024 to Jul 2025 change (%)"
"Permanent arrivals","7,720","10,400","10,190","9,730","-4.6"
"Long-term resident returns","11,220","12,100","11,540","12,230","6.0"
"Short-term resident returns","1,122,590","995,580","1,146,340","1,205,170","5.1"
"Long-term visitor arrivals","76,870","100,190","98,220","98,120","-0.1"
"Short-term visitor arrivals","790,380","625,120","658,970","743,210","12.8"
"Total arrivals","2,008,780","1,743,390","1,925,260","2,068,460","7.4"
