"Region","Number of visitor arrivals"
"New South Wales","257410"
"Victoria","178600"
"Queensland","192900"
"South Australia","21170"
"Western Australia","68780"
"Tasmania","5350"
"Northern Territory","8900"
"Australian Capital Territory","9970"
