"State or territory of stay","2019","2023","2024","2025"
"New South Wales", 8032991, 8317329, 8477401, 8579219
"Victoria", 6518716, 6757251, 6928534, 7053122
"Queensland", 5070306, 5415786, 5548832, 5647468
"South Australia", 1762889, 1851014, 1878655, 1898587
"Western Australia", 2649641, 2868478, 2962651, 3030183
"Tasmania", 545803, 573836, 574965, 576109
"Northern Territory", 246016, 256466, 259967, 263417
"Australian Capital Territory", 433801, 469185, 477529, 483767
