"Year","Tourism ($b)","Whole economy ($b)"
"Begin", "0.000", "0.000"
"2016-17","64.419","2,221.08"
"2017-18","68.527","2,285.01"
"2018-19","73.651","2,334.63"
"2019-20","58.484","2,331.84"
"2020-21","36.475","2,381.07"
"2021-22","43.633","2,482.08"
"2022-23","71.621","2,567.51"
"2023-24","75.527","2,604.26"
"End", "0.000", "0.000"
